trial,true_label,pred_label
1,0,0
2,1,1
3,1,1
4,0,0
5,1,1
6,0,0
7,1,1
8,2,2
9,1,1
10,3,3
11,0,0
12,2,2
13,1,1
14,0,0
15,3,3
16,3,3
17,3,3
18,3,3
19,3,3
20,0,0
21,2,2
22,1,1
23,0,0
24,0,0
25,2,2
26,3,3
27,0,3
28,2,2
29,2,2
30,2,2
31,0,0
32,1,1
33,0,3
34,1,1
35,1,1
36,0,0
37,1,3
38,2,2
39,1,1
40,2,2
41,2,2
42,3,3
43,2,2
44,2,2
45,3,3
46,3,3
47,3,0
48,3,3
49,3,3
50,2,3
51,1,3
52,0,0
53,0,0
54,1,1
55,2,3
56,3,3
57,1,1
58,2,3
59,0,0
60,0,0
61,0,0
62,3,3
63,1,3
64,1,1
65,0,0
66,0,0
67,2,3
68,0,0
69,1,1
70,3,3
71,3,3
72,2,2
73,0,0
74,3,3
75,3,3
76,1,1
77,3,3
78,3,3
79,1,1
80,0,0
81,1,1
82,2,2
83,2,2
84,2,2
85,3,3
86,2,2
87,0,0
88,3,3
89,1,1
90,2,2
91,1,3
92,2,2
93,3,3
94,1,1
95,2,2
96,0,0
97,0,3
98,0,0
99,3,3
100,1,3
101,0,0
102,2,3
103,0,0
104,2,3
105,1,1
106,3,3
107,0,3
108,2,3
109,2,3
110,0,0
111,2,3
112,1,3
113,3,2
114,3,3
115,3,3
116,2,3
117,0,0
118,3,3
119,1,1
120,3,3
121,1,1
122,0,0
123,2,2
124,1,1
125,0,0
126,2,2
127,2,3
128,0,0
129,2,2
130,3,3
131,3,3
132,1,1
133,0,3
134,1,1
135,3,2
136,1,1
137,3,2
138,2,2
139,1,1
140,1,1
141,1,3
142,2,3
143,3,3
144,0,2
145,1,2
146,3,3
147,0,0
148,2,2
149,2,2
150,3,2
151,0,0
152,0,0
153,2,2
154,1,2
155,3,3
156,3,3
157,3,2
158,1,2
159,0,2
160,2,2
161,1,1
162,3,3
163,0,0
164,3,3
165,2,2
166,1,1
167,3,3
168,3,3
169,0,0
170,1,1
171,1,1
172,2,2
173,3,3
174,1,1
175,0,0
176,0,0
177,3,3
178,1,1
179,0,0
180,2,2
181,1,1
182,1,1
183,2,2
184,0,0
185,3,3
186,2,3
187,2,2
188,2,2
189,2,3
190,0,0
191,1,1
192,0,3
193,1,3
194,0,0
195,0,0
196,2,3
197,2,2
198,1,2
199,2,2
200,3,3
201,0,0
202,3,3
203,0,0
204,0,0
205,1,1
206,3,2
207,2,2
208,1,3
209,3,2
210,2,2
211,3,3
212,2,2
213,3,3
214,1,1
215,1,1
216,3,3
217,0,0
218,1,1
219,1,1
220,1,3
221,2,3
222,3,3
223,0,0
224,3,3
225,0,0
226,2,2
227,0,0
228,3,3
229,0,0
230,2,2
231,0,3
232,1,3
233,2,2
234,2,2
235,3,3
236,0,0
237,1,1
238,3,3
239,1,1
240,2,2
241,2,3
242,0,0
243,3,3
244,1,1
245,3,3
246,0,3
247,0,0
248,2,3
249,2,3
250,1,1
251,3,3
252,1,2
253,1,1
254,0,3
255,1,1
256,3,3
257,3,3
258,1,1
259,1,3
260,1,3
261,1,1
262,3,3
263,3,3
264,2,2
265,3,3
266,0,0
267,1,1
268,2,2
269,1,3
270,0,0
271,3,3
272,0,0
273,3,3
274,0,3
275,0,0
276,0,0
277,0,3
278,2,3
279,2,2
280,3,3
281,1,3
282,2,3
283,2,2
284,2,2
285,3,3
286,2,2
287,0,3
288,2,2
