trial,true_label,pred_label,label,theta_alpha,channel_idx
1,0,0,0,0.6385854730180943,11
2,1,1,1,0.1961987912323796,11
3,1,1,1,0.0926296481178775,11
4,0,0,0,1.408302385569955,11
5,1,1,1,0.1815422971819892,11
6,0,0,0,0.4226046623218271,11
7,1,1,1,0.1881439595508933,11
8,2,2,2,0.4382481897339551,11
9,1,1,1,0.3950364854396191,11
10,3,3,3,0.3270451736727719,11
11,0,0,0,0.3085483617003677,11
12,2,2,2,0.2379517564393292,11
13,1,1,1,0.2533931681665501,11
14,0,0,0,0.3754296075115884,11
15,3,3,3,0.3647615419994025,11
16,3,3,3,0.3130686172653448,11
17,3,3,3,0.2447710724544582,11
18,3,3,3,0.2658345812294165,11
19,3,3,3,0.115436884989872,11
20,0,0,0,0.4654573085547753,11
21,2,2,2,0.2576960920338614,11
22,1,1,1,0.2615831866101006,11
23,0,0,0,0.3186033132910338,11
24,0,0,0,0.2337327919387667,11
25,2,2,2,0.352338745392048,11
26,3,3,3,0.2504800332174379,11
27,0,0,0,0.2479374078804447,11
28,2,2,2,0.2927486628728206,11
29,2,2,2,0.1494435982396741,11
30,2,2,2,0.3060057437963008,11
31,0,0,0,0.1927535682345502,11
32,1,1,1,0.2416595931103325,11
33,0,0,0,0.4330657461926228,11
34,1,1,1,0.2048479240717949,11
35,1,1,1,0.3388278068075316,11
36,0,0,0,0.9843295992281662,11
37,1,1,1,0.2006095287051035,11
38,2,2,2,0.5268832671312403,11
39,1,3,1,0.1532696923726151,11
40,2,3,2,0.3658988087628266,11
41,2,2,2,0.3561862199370575,11
42,3,3,3,0.3157995362199902,11
43,2,2,2,0.3615669346968467,11
44,2,2,2,0.1259807061499952,11
45,3,3,3,0.0825003137128278,11
46,3,3,3,0.1236436394723583,11
47,3,3,3,0.0976427973037502,11
48,3,3,3,0.2134120937534755,11
49,3,3,3,0.1770554558212271,11
50,2,2,2,0.5108033617120686,11
51,1,1,1,0.3182538390415301,11
52,0,0,0,0.2737537192936604,11
53,0,0,0,0.2781357760301645,11
54,1,1,1,0.120074097921196,11
55,2,2,2,0.2232001317064532,11
56,3,3,3,0.0733607818865498,11
57,1,1,1,0.1012497543081336,11
58,2,2,2,0.5580202908050803,11
59,0,0,0,0.2316488240829264,11
60,0,3,0,0.2966417260799121,11
61,0,3,0,0.4037138944130076,11
62,3,3,3,0.2659812918031246,11
63,1,1,1,0.2131533639688059,11
64,1,1,1,0.428973160707199,11
65,0,0,0,0.2335400925003476,11
66,0,0,0,0.3497198395436416,11
67,2,2,2,0.1869941359585559,11
68,0,0,0,0.3571615696204193,11
69,1,1,1,0.4646252471450327,11
70,3,3,3,0.265703602825301,11
71,3,3,3,0.2391669144635669,11
72,2,2,2,0.275465898090431,11
73,0,0,0,0.190192942651846,11
74,3,3,3,0.1962017211868161,11
75,3,3,3,0.3545542703430268,11
76,1,1,1,0.2246183139793481,11
77,3,3,3,0.1488610476930769,11
78,3,3,3,0.4122169587295196,11
79,1,3,1,0.1694382404599291,11
80,0,0,0,0.2403460843219071,11
81,1,1,1,0.1318842637094372,11
82,2,2,2,0.3164118302191491,11
83,2,2,2,0.1235021699478229,11
84,2,3,2,0.0795881915720787,11
85,3,3,3,0.1031480221715539,11
86,2,3,2,0.508083639473498,11
87,0,1,0,0.195396605017371,11
88,3,2,3,0.2282904153337403,11
89,1,1,1,0.2531023603647889,11
90,2,2,2,0.1698630702646665,11
91,1,1,1,0.3736337398690477,11
92,2,1,2,0.3622995355069369,11
93,3,3,3,0.5210661180673478,11
94,1,1,1,0.4386715712481259,11
95,2,2,2,0.2438937049981679,11
96,0,0,0,0.3868035548290682,11
97,0,0,0,0.5020267553801943,11
98,0,3,0,0.5719450681993543,11
99,3,3,3,0.0818723259283281,11
100,1,3,1,0.2414097438759035,11
101,0,0,0,0.287737761554306,11
102,2,2,2,0.2072409629531348,11
103,0,0,0,0.2085592689465884,11
104,2,3,2,0.1223513103866567,11
105,1,1,1,0.1582060622401851,11
106,3,3,3,0.1204047940969594,11
107,0,0,0,0.3871408388544383,11
108,2,2,2,0.2821750077246575,11
109,2,2,2,0.4816503507049272,11
110,0,0,0,0.2083035697862008,11
111,2,2,2,0.1609602174861772,11
112,1,3,1,0.2031102432220448,11
113,3,3,3,0.2310478096020065,11
114,3,3,3,0.060576244661673,11
115,3,3,3,0.1843854739059635,11
116,2,2,2,0.2600218368738943,11
117,0,0,0,0.2926500748862192,11
118,3,2,3,0.2866755082328042,11
119,1,1,1,0.6526747477874066,11
120,3,3,3,0.1178818268888182,11
121,1,3,1,0.2601065882195825,11
122,0,0,0,0.4310175155165799,11
123,2,2,2,0.2796448122694464,11
124,1,1,1,0.1587040312489157,11
125,0,0,0,0.3341093140881271,11
126,2,2,2,0.2474148512032807,11
127,2,2,2,0.2618340051740593,11
128,0,0,0,0.3071696634364068,11
129,2,2,2,0.1961388198511774,11
130,3,3,3,0.2490089800404372,11
131,3,3,3,0.2598302007463487,11
132,1,1,1,0.3231115988936481,11
133,0,0,0,0.381092307459054,11
134,1,1,1,0.3022806526973734,11
135,3,3,3,0.1946807673279916,11
