trial,true_label,pred_label,label,theta_alpha,channel_idx
1,0,0,0,1.2074807693591365,11
2,1,1,1,1.3946842893428884,11
3,1,1,1,1.5046176418266792,11
4,0,0,0,1.9418016437112715,11
5,1,1,1,1.216778133446846,11
6,0,0,0,0.8766033321212875,11
7,1,1,1,0.9984430249162902,11
8,2,0,2,0.5777135546479403,11
9,1,1,1,0.9439631776951672,11
10,3,3,3,0.3845363153741259,11
11,0,0,0,0.8929205907478581,11
12,2,2,2,0.5022837141094544,11
13,1,1,1,0.644703071081814,11
14,0,0,0,1.3611533990702098,11
15,3,3,3,0.3845686193789533,11
16,3,3,3,0.5249681662338339,11
17,3,3,3,0.4484352746795217,11
18,3,1,3,0.9747765925723596,11
19,3,0,3,0.6135285941330536,11
20,0,0,0,1.3079967632590077,11
21,2,2,2,0.8272161457902593,11
22,1,1,1,0.6385627355720458,11
23,0,0,0,1.395326691326823,11
24,0,0,0,0.7306306169138597,11
25,2,2,2,0.6413180625843503,11
26,3,3,3,0.7268649947446548,11
27,0,0,0,0.5527148268655815,11
28,2,2,2,0.5848782911435809,11
29,2,2,2,0.5056343946522953,11
30,2,2,2,0.8755030383623247,11
31,0,0,0,1.3385655871086497,11
32,1,1,1,0.9512393053202592,11
33,0,0,0,0.9644196244849704,11
34,1,1,1,1.6725852013189952,11
35,1,1,1,1.2078439188148695,11
36,0,0,0,0.6017488694651543,11
37,1,1,1,1.2702852486293918,11
38,2,0,2,0.1910361792656024,11
39,1,1,1,0.8610341240868036,11
40,2,2,2,1.4642861585643872,11
41,2,2,2,0.6820710679468721,11
42,3,3,3,0.8608314675055218,11
43,2,2,2,0.901010821020862,11
44,2,2,2,1.326748522763526,11
45,3,3,3,1.514327730330952,11
46,3,3,3,1.0672196526075413,11
47,3,0,3,0.3447706316735348,11
48,3,3,3,0.83611215484558,11
49,3,3,3,1.4508349555949895,11
50,2,0,2,0.2587964368996583,11
51,1,1,1,0.6552667293766198,11
52,0,0,0,1.2281921822177544,11
53,0,0,0,1.389358516680533,11
54,1,1,1,0.9321375282519484,11
55,2,2,2,2.1446733006138716,11
56,3,3,3,2.0311337715434727,11
57,1,1,1,1.25577553693696,11
58,2,2,2,1.0700126157843262,11
59,0,0,0,0.6205873309829724,11
60,0,0,0,5.048819503434417,11
61,0,0,0,1.358091323607235,11
62,3,3,3,1.1273954278653486,11
63,1,1,1,0.6870905041767073,11
64,1,1,1,0.7408012473475286,11
65,0,0,0,0.864058207948884,11
66,0,0,0,0.7703626860608326,11
67,2,2,2,1.3975683769997511,11
68,0,0,0,0.5070095276541186,11
69,1,1,1,1.7491160783756912,11
70,3,3,3,1.2739677345873548,11
71,3,3,3,1.806625642650057,11
72,2,2,2,0.6580895670026586,11
73,0,0,0,0.8784041455124638,11
74,3,3,3,1.076267925562045,11
75,3,0,3,0.2841504118844595,11
76,1,1,1,1.1292607630339095,11
77,3,3,3,0.4569389128618989,11
78,3,3,3,0.6664324323516435,11
79,1,1,1,0.9791343124653252,11
80,0,0,0,1.8308980528158352,11
81,1,0,1,0.4828265367915108,11
82,2,2,2,0.4040935280158425,11
83,2,0,2,0.7448983367729145,11
84,2,2,2,0.7646808622256598,11
85,3,0,3,0.2431589947853162,11
86,2,2,2,0.9002933359460364,11
87,0,0,0,1.424558646805734,11
88,3,3,3,0.7399796605057535,11
89,1,1,1,1.2355231523566943,11
90,2,2,2,0.7048996186319796,11
91,1,1,1,1.3779834703859757,11
92,2,2,2,0.1924623607815092,11
93,3,3,3,1.5515535750006135,11
94,1,1,1,1.361125669800504,11
95,2,2,2,0.3691217907549873,11
96,0,3,0,0.7134168904137166,11
97,0,0,0,1.2749423290608224,11
98,0,0,0,2.6876420295016605,11
99,3,3,3,1.0381490430892422,11
100,1,1,1,1.2937904783392562,11
101,0,0,0,1.484405051231868,11
102,2,2,2,0.7418991710567843,11
103,0,0,0,0.4786598676108027,11
104,2,2,2,0.7687542595331668,11
105,1,1,1,0.6826284802439967,11
106,3,3,3,0.7212664319997965,11
107,0,0,0,1.3739962643515915,11
108,2,2,2,1.087750677728681,11
109,2,2,2,0.6781619988051403,11
110,0,0,0,2.2374982877128695,11
111,2,2,2,0.2874236786459597,11
112,1,1,1,2.348341237348672,11
113,3,3,3,1.077740123127897,11
114,3,3,3,1.286709006381641,11
115,3,0,3,1.177170880969233,11
116,2,2,2,0.6462043768908027,11
117,0,0,0,1.5831715367214911,11
118,3,3,3,1.2767418331238978,11
119,1,1,1,1.0988214731451345,11
120,3,3,3,1.193368355168563,11
121,1,1,1,0.5189447678019943,11
122,0,0,0,1.0572858963063494,11
123,2,0,2,1.6839390370577385,11
124,1,1,1,0.9761645997532226,11
125,0,0,0,1.3392474783647832,11
