trial,true_label_x,pred_label,win_global,theta_alpha,true_label_y
1,1,1,1,2.2638172362943785e-05,1
2,1,1,2,1.383118924950151e-05,1
3,1,1,3,1.864435931700308e-05,1
4,0,0,4,1.264784975653589e-05,0
5,0,0,5,1.4858883684224253e-05,0
6,0,0,6,2.0655148313302728e-05,0
7,0,0,7,2.1453401346969493e-05,0
8,0,0,8,2.015598226141479e-05,0
9,0,0,9,1.9035832317675095e-05,0
10,0,0,10,7.083652769190101e-06,0
11,0,0,11,1.6235496841418904e-05,0
12,0,0,12,2.5583198243097308e-05,0
13,0,0,13,1.4091159429601542e-05,0
14,0,0,14,1.874255487231224e-05,0
15,0,0,15,1.9826907580074397e-05,0
16,0,0,16,8.610789218740327e-06,0
17,0,0,17,1.876416016156902e-05,0
18,0,0,18,4.722443720047267e-05,0
19,0,0,19,3.1878409975085946e-05,0
20,0,0,20,3.688230507699339e-05,0
21,0,0,21,2.5153950386029502e-05,0
22,0,0,22,2.0882908329300052e-05,0
23,0,0,23,3.4609974994543645e-05,0
24,0,0,24,2.4393406542199612e-05,0
25,0,0,25,1.650049540827454e-05,0
26,0,0,26,2.066491052118179e-05,0
27,0,0,27,5.448491556873326e-05,0
28,0,0,28,1.2570343830149212e-05,0
29,0,0,29,1.1198500392848534e-05,0
30,0,0,30,1.5824789466425433e-05,0
31,0,0,31,1.6039137730807855e-05,0
32,0,0,32,3.519591394594481e-05,0
33,0,0,33,2.0139170763591545e-05,0
34,0,0,34,1.416746421199792e-05,0
35,0,0,35,1.6127641504077855e-05,0
36,0,0,36,2.1641316724599057e-05,0
37,0,0,37,2.943221628680489e-05,0
38,0,0,38,2.4574866073747375e-05,0
39,0,0,39,2.8292625609998765e-05,0
40,0,0,40,6.95596411234688e-06,0
41,0,0,41,1.5735267715471632e-05,0
42,0,0,42,1.343196997452499e-05,0
43,0,0,43,1.6144038478373682e-05,0
44,0,0,44,1.590658461937642e-05,0
45,0,0,45,2.6170349937910543e-05,0
46,0,0,46,9.49841435035295e-06,0
47,0,0,47,8.461076340044348e-06,0
48,0,0,48,1.0676755989292776e-05,0
49,0,0,49,1.3185819047351444e-05,0
50,0,0,50,1.3116756510579896e-05,0
51,0,0,51,8.141687576659336e-06,0
52,0,0,52,7.966494151563094e-05,0
53,0,0,53,6.063743385189409e-05,0
54,0,0,54,9.127502241264753e-05,0
55,0,0,55,5.420949534957534e-06,0
56,0,0,56,1.4464751639917744e-05,0
57,0,0,57,1.8036417473126084e-05,0
58,0,0,58,2.484634673416349e-05,0
59,0,0,59,2.428230560984628e-05,0
60,0,0,60,2.204205411809059e-05,0
61,0,0,61,1.5986719323124004e-05,0
62,0,0,62,1.686942147354626e-05,0
