trial,true_label_x,pred_label,win_global,theta_alpha,true_label_y
1,1,1,1,1.3479927817303643e-06,1
2,1,1,2,2.216754678806587e-06,1
3,1,1,3,1.7907121872069233e-06,1
4,0,0,4,3.2953227787991115e-06,0
5,0,0,5,2.5365922419673316e-06,0
6,0,0,6,2.432723886175872e-06,0
7,0,0,7,1.9309371373855223e-06,0
8,0,0,8,1.900426788563813e-06,0
9,0,0,9,2.4119157210519662e-06,0
10,0,0,10,1.986533325114604e-06,0
11,0,0,11,2.70460718884625e-06,0
12,0,0,12,1.5684853554156192e-06,0
13,0,0,13,1.9215255745099477e-06,0
14,0,0,14,2.264063687053777e-06,0
15,0,0,15,2.5283150785144707e-06,0
16,0,0,16,1.688549599990296e-06,0
17,0,0,17,1.3106132530541943e-06,0
18,0,0,18,1.1457973253757987e-06,0
19,0,0,19,2.404765677624038e-06,0
20,0,0,20,3.301633784847444e-06,0
21,0,0,21,3.958675909552932e-06,0
22,0,0,22,1.5715641795045874e-06,0
23,0,0,23,2.0745413288481584e-06,0
24,0,0,24,1.6771153439536385e-06,0
25,0,0,25,1.3087268043981892e-06,0
26,0,0,26,8.498522561317931e-07,0
27,0,0,27,1.4455489141932177e-06,0
28,0,0,28,1.7278709187303863e-06,0
29,0,0,29,2.506004092233425e-06,0
30,0,0,30,3.7737174488894097e-06,0
31,0,0,31,1.0124590401049208e-06,0
32,0,0,32,1.6608416560037798e-06,0
33,0,0,33,2.0014468365358467e-06,0
34,0,0,34,1.956181342323043e-06,0
35,0,0,35,2.9628811257935683e-06,0
36,0,0,36,2.050080045662631e-06,0
37,0,0,37,2.026752071221804e-06,0
38,0,0,38,1.5849121094481489e-06,0
39,0,0,39,2.6262323297018462e-06,0
40,0,0,40,1.5997119311305454e-06,0
41,0,0,41,1.8337092621031303e-06,0
42,0,0,42,2.0600895316275e-06,0
43,0,0,43,2.449700969788447e-06,0
44,0,0,44,3.296524114394372e-06,0
45,0,0,45,2.2409727335514044e-06,0
46,0,0,46,4.202742934766037e-06,0
47,0,0,47,3.2626160325633303e-06,0
48,0,0,48,2.131789965921993e-06,0
49,0,0,49,1.1430804793056054e-06,0
50,0,0,50,1.945819760176653e-06,0
51,0,0,51,1.9594835510784545e-06,0
52,0,0,52,2.252231051070947e-06,0
53,0,0,53,3.864201519031557e-06,0
54,0,0,54,3.76651096008158e-06,0
55,0,0,55,1.1315955611100353e-06,0
56,0,0,56,1.1258074148863282e-06,0
57,0,0,57,1.1683487496757913e-06,0
58,0,0,58,1.7161888215289545e-06,0
59,0,0,59,1.4836696098949372e-06,0
60,0,0,60,1.8096844315331937e-06,0
61,0,0,61,2.192033952829615e-06,0
62,0,0,62,1.883758626989718e-06,0
63,0,0,63,1.997295460756046e-06,0
64,0,0,64,1.18383243429285e-06,0
65,0,0,65,2.909890101265487e-06,0
66,0,0,66,3.1142027193394675e-06,0
67,0,0,67,1.4098950004940484e-06,0
68,0,0,68,1.6484311506740577e-06,0
69,0,0,69,1.152369221395862e-06,0
70,0,0,70,1.3076390543450187e-06,0
71,0,0,71,1.2886754786543366e-06,0
72,0,0,72,2.068971558014563e-06,0
73,0,0,73,1.8137190211560529e-06,0
74,0,0,74,2.9453059338883887e-06,0
75,0,0,75,2.6640590594231983e-06,0
76,0,0,76,1.3558414607617522e-06,0
77,0,0,77,1.726907825671421e-06,0
78,0,0,78,1.4560590874032657e-06,0
79,0,0,79,2.1330892420878556e-06,0
80,0,0,80,2.3736154469375646e-06,0
81,0,0,81,2.9398790987124303e-06,0
82,0,0,82,2.009161107694149e-06,0
83,0,0,83,2.110012843477065e-06,0
84,0,0,84,1.89375953053788e-06,0
85,0,0,85,1.5225777485785142e-06,0
86,0,0,86,1.417280295570104e-06,0
87,0,0,87,1.2495800994897271e-06,0
88,0,0,88,1.0130108582694258e-06,0
89,0,0,89,1.1844099596574982e-06,0
90,0,0,90,9.718333379442154e-07,0
91,0,0,91,1.892489255777814e-06,0
92,0,0,92,1.7127291346008222e-06,0
93,0,0,93,1.2438879261653077e-06,0
94,0,0,94,8.896226730255987e-07,0
95,0,0,95,1.8835900019558465e-06,0
96,0,0,96,3.147577011692877e-06,0
97,0,0,97,1.5256580910364326e-06,0
98,0,0,98,1.1030934686271916e-06,0
99,0,0,99,1.2217388857079567e-06,0
100,0,0,100,1.1201302594664092e-06,0
101,0,0,101,8.486014693754172e-07,0
102,0,0,102,1.3152107187761044e-06,0
103,0,0,103,1.443789969502062e-06,0
104,0,0,104,1.0545989128410951e-06,0
105,0,0,105,8.028908218171006e-07,0
106,0,0,106,2.0101001813072457e-06,0
107,0,0,107,2.589608745352742e-06,0
108,0,0,108,1.8777707581494116e-06,0
109,0,0,109,2.111040360018558e-06,0
110,0,0,110,2.7576869167785087e-06,0
111,0,0,111,2.880296751277795e-06,0
112,0,0,112,8.847680404180206e-07,0
113,0,0,113,1.6120215714501936e-06,0
114,0,0,114,1.7331335130122925e-06,0
115,0,0,115,8.378797926025152e-07,0
116,0,0,116,7.03838680813661e-07,0
117,0,0,117,7.518467806511351e-07,0
118,0,0,118,1.5353733364198632e-06,0
119,0,0,119,1.4730802653545822e-06,0
120,0,0,120,1.0207381478030944e-06,0
121,0,0,121,1.3039706096568403e-06,0
122,0,0,122,1.3068027330149823e-06,0
123,0,0,123,1.5872339832409338e-06,0
124,0,0,124,9.940305278940374e-07,0
125,0,0,125,8.546714515601087e-07,0
126,0,0,126,6.391935829678019e-07,0
127,0,0,127,2.5793951382488424e-06,0
128,0,0,128,3.066586412114003e-06,0
129,0,0,129,2.8375813681088034e-06,0
130,0,0,130,1.6388190495569772e-06,0
131,0,0,131,1.1708786896630377e-06,0
132,0,0,132,5.904072391876215e-07,0
133,0,0,133,6.320652000949266e-07,0
134,0,0,134,1.4630565355386986e-06,0
135,0,0,135,1.4267066797499043e-06,0
136,0,0,136,6.636413281517988e-07,0
137,0,0,137,2.0196888942374573e-06,0
138,0,0,138,2.8688918786124266e-06,0
139,0,0,139,2.4496697233773815e-06,0
140,0,0,140,1.4394756006330156e-06,0
141,0,0,141,1.413531391225931e-06,0
142,0,0,142,8.751397058726142e-07,0
143,0,0,143,1.013031949210844e-06,0
144,0,0,144,1.189981857911722e-06,0
145,0,0,145,1.608194934391247e-06,0
146,0,0,146,1.7561082308656344e-06,0
147,0,0,147,1.5166911633217665e-06,0
148,1,0,148,3.2347076605194925e-06,1
149,1,0,149,3.195158145522946e-06,1
150,1,1,150,2.371214911267644e-06,1
151,0,0,151,2.1496017908574913e-06,0
152,0,0,152,2.6498060314599092e-06,0
153,0,0,153,1.927091466757491e-06,0
154,0,0,154,2.522735047973297e-06,0
155,0,0,155,3.187915500494441e-06,0
156,0,0,156,4.160088974234844e-06,0
157,0,0,157,1.1427610578466814e-06,0
158,0,0,158,1.6990391344351926e-06,0
159,0,0,159,1.9906480205535205e-06,0
160,0,0,160,2.217102063857555e-06,0
161,0,0,161,2.1356524730291163e-06,0
162,0,0,162,3.843647050197875e-06,0
