trial,true_label,pred_label,theta_alpha
1,0,0,0.5136416832538833
2,2,2,0.3809054045565709
3,1,1,0.2983846199892603
4,3,3,0.2876900174915249
5,0,0,0.6794203539929576
6,2,2,0.1936007146123869
7,3,3,0.400068156650574
8,1,1,0.2605755510348651
9,3,3,0.5298944432800726
10,2,2,0.3802950249684877
11,1,1,0.3594829983099107
12,0,0,0.3808678583500298
13,0,0,0.5184327664646725
14,3,3,0.5255182272949733
15,2,2,0.3749908483563598
16,1,1,0.2927921268730469
17,0,0,0.4634813344321847
18,1,1,0.3556137643928609
19,2,2,0.2984374139279888
20,3,3,0.1545385489840072
21,1,1,0.5183736761903411
22,3,3,0.5548928651069676
23,0,0,0.2086797277669541
24,2,2,0.0892078908879122
25,1,1,0.1547629784056011
26,0,0,0.1682459507892093
27,3,3,0.1297632625006627
28,2,2,0.158461616911511
29,3,3,0.3156706343692674
30,0,0,0.1629818065816475
31,2,2,0.239509812240058
32,1,1,0.7066978998191802
33,2,2,0.8761701151408241
34,3,3,0.2394620119156114
35,1,1,0.6946244600180922
36,0,0,0.271383443218774
37,3,3,0.2931946375109485
38,1,1,0.6944623392218823
39,2,2,0.0558523458963633
40,0,0,0.6773184439218439
41,0,0,0.2469966407906412
42,2,2,0.5899795149052574
43,3,3,0.1581260216297265
44,1,1,0.228140191962043
45,3,3,0.1934289183817733
46,0,0,0.5441536261855989
47,2,2,0.2520197121377612
48,1,1,0.2569483370991923
49,2,0,0.6773562475261317
50,0,0,0.3390789882401638
51,3,3,0.2580252476644724
52,1,1,0.7371794044654125
53,0,0,0.7076866601545578
54,1,1,0.2373286810096268
55,2,2,0.4667646604406825
56,3,3,0.3027426553049617
57,0,0,0.2972291185872264
58,1,1,0.3130239287687153
59,2,2,0.3112553717263838
60,3,3,0.088994161954151
61,1,1,0.1885661400967326
62,2,2,0.1830896974222598
63,0,0,0.0946017261009992
64,3,3,0.2054766614628933
65,3,3,0.36285415824451
66,1,1,0.1444225396494708
67,0,0,0.2687664076520563
68,2,2,0.3090049826641694
69,1,1,0.141926038809152
70,3,3,0.4000738179307075
71,2,2,0.2092413671671087
72,0,2,0.2904361790130006
73,1,2,0.333676997306171
74,0,0,0.7250581671582915
75,2,2,0.386228688210385
76,3,3,0.456871796700619
77,1,1,0.4672539784709588
78,3,3,0.2398537824265066
79,2,2,0.2971470780627954
80,0,0,0.2192587793239383
81,3,0,1.0115097700610374
82,2,2,1.2447891805785216
83,1,1,0.494745819857857
84,0,2,0.2089067974996579
85,0,0,0.3524851477834639
86,2,2,0.2062139851207254
87,1,1,0.1808694774170026
88,3,3,0.9247397029965212
89,0,0,0.348825049286479
90,3,3,0.5873760669613295
91,2,2,0.6168867874809673
92,1,1,0.1591287479344026
93,0,0,0.2350340914055965
94,2,2,0.4283690769858554
95,3,3,0.1588953051171715
96,1,1,0.4651947373509881
97,1,1,0.3926084931118645
98,3,3,0.1542256543622744
99,0,0,1.27769750346295
100,2,2,0.8548972570554274
101,3,3,0.2151446218384867
102,2,2,0.6184929964027962
103,0,0,0.256143962692859
104,1,1,0.2849125182054035
105,0,0,0.3403797087389709
106,2,2,0.3381627341490471
107,3,3,0.8278945014479415
108,1,1,0.1581446316897954
109,2,2,0.1047027656764643
110,3,3,0.2670741190642701
111,1,1,0.4154255357148569
112,0,0,0.1678082860641395
113,1,1,0.6906964733210894
114,3,3,0.3454770567515614
115,2,2,0.1221834953548204
116,0,0,0.1777966707048403
117,0,0,0.2916112764111618
118,3,3,0.0868772391985354
119,2,2,0.2482803455298618
120,1,1,0.4070114904101847
121,0,0,0.3369548303158038
122,2,2,0.1443631788788776
123,1,1,0.1495347144418023
124,3,3,0.1868002477725575
125,2,2,0.685839866202631
126,0,0,0.201519764140202
127,1,1,0.1675652446007608
128,3,3,0.310358424335208
129,0,0,0.1644356996471866
130,2,2,0.2062832772118216
131,3,3,0.3927067883116086
132,1,1,0.25773063046241
133,0,0,0.1981532945362404
134,1,1,0.551080810649738
135,3,3,0.2576002207521527
136,2,2,0.8517527943178165
137,3,3,0.1542640042982607
138,2,2,0.2642771489813587
139,1,1,0.3995682307660841
140,0,0,0.6358798356193747
141,3,3,0.2100375449969638
142,2,2,0.3316899339394716
143,0,0,0.2164545488518682
144,1,1,0.5032043058221641
145,1,1,1.0722769926558524
146,3,3,0.3047866159836898
147,0,0,0.9764598572627105
148,2,2,0.5602174980708138
149,3,3,0.177703989049142
150,0,0,0.5191160345933492
151,1,1,0.6946595496012021
152,2,2,0.2666701931996871
153,0,0,0.2838150893340322
154,3,3,0.325478627100408
155,2,2,0.2337692681913263
156,1,1,0.5734707334550996
157,2,2,0.1134715604352756
158,1,1,0.1381912937107422
159,0,0,0.1817108685730382
160,3,3,0.0621832517812394
