trial,true_label,pred_label
1,1,1
2,3,3
3,2,2
4,0,0
5,2,2
6,0,0
7,3,3
8,1,1
9,3,3
10,0,0
11,1,1
12,2,2
13,1,1
14,3,3
15,0,0
16,2,2
17,0,0
18,1,1
19,3,3
20,2,2
21,1,1
22,3,3
23,2,2
24,0,0
25,1,1
26,2,2
27,0,0
28,3,3
29,0,0
30,3,3
31,2,2
32,1,1
33,1,1
34,0,0
35,3,3
36,2,2
37,0,0
38,3,3
39,1,1
40,2,2
41,2,2
42,0,0
43,1,1
44,3,3
45,0,0
46,2,2
47,1,1
48,3,3
49,3,3
50,1,1
51,2,2
52,0,0
53,3,3
54,2,2
55,0,0
56,1,1
57,0,0
58,1,1
59,2,2
60,3,3
61,2,2
62,3,3
63,1,1
64,0,0
65,2,2
66,3,3
67,0,0
68,1,1
69,1,1
70,0,0
71,2,1
72,3,3
73,1,1
74,0,0
75,3,3
76,2,2
77,0,0
78,3,3
79,2,2
80,1,1
81,3,3
82,1,1
83,2,2
84,0,0
85,1,1
86,3,3
87,2,2
88,0,0
89,2,2
90,0,0
91,3,3
92,1,1
93,2,2
94,1,1
95,3,3
96,0,0
97,3,3
98,2,2
99,0,0
100,1,1
101,3,3
102,1,1
103,0,0
104,2,2
105,0,0
106,3,3
107,1,1
108,2,1
109,2,2
110,0,0
111,1,1
112,3,3
113,3,3
114,2,2
115,1,1
116,0,0
117,2,2
118,1,1
119,0,0
120,3,3
121,2,2
122,0,0
123,1,1
124,3,3
125,1,1
126,0,0
127,3,3
128,2,2
129,3,3
130,0,0
131,2,2
132,1,1
133,1,1
134,3,3
135,0,0
136,2,1
137,2,2
138,1,1
139,0,0
140,3,3
141,1,1
142,0,0
143,2,2
144,3,3
145,2,2
146,3,3
147,0,0
148,1,1
149,0,0
150,3,3
151,2,2
152,1,1
153,1,1
154,2,2
155,0,0
156,3,3
157,0,0
158,2,2
159,1,1
160,3,3
